משרד,שנה,סיווג ראשי,סיווג משני,תקציב מקורי,תקציב מעודכן,ביצוע/אומדן,מספר תקנות,מקור
sec-10,2023,שכר,שכר בארץ,36786000,36224000,36440963,5,https://next.obudget.org/i/budget/0010/2023
sec-10,2024,העברות פנים תקציביות,השתתפויות,2816000,5071000,5113046,3,https://next.obudget.org/i/budget/0010/2024
sec-10,2024,קניות,קניות בארץ,12778000,21294000,10802486,2,https://next.obudget.org/i/budget/0010/2024
sec-10,2024,קניות,רזרבה,560000,0,0,2,https://next.obudget.org/i/budget/0010/2024
sec-10,2024,שכר,רזרבה,1690000,0,0,1,https://next.obudget.org/i/budget/0010/2024
sec-10,2024,שכר,שכר בארץ,38728000,37169000,37251223,5,https://next.obudget.org/i/budget/0010/2024
sec-10,2025,העברות פנים תקציביות,השתתפויות,2680000,5180000,5334095,3,https://next.obudget.org/i/budget/0010/2025
sec-10,2025,קניות,קניות בארץ,11972000,22645000,12307291,1,https://next.obudget.org/i/budget/0010/2025
sec-10,2025,קניות,רזרבה,500000,0,0,2,https://next.obudget.org/i/budget/0010/2025
sec-10,2025,שכר,רזרבה,1707000,0,0,1,https://next.obudget.org/i/budget/0010/2025
sec-10,2025,שכר,שכר בארץ,40951000,37581000,37023604,5,https://next.obudget.org/i/budget/0010/2025
sec-10,2026,העברות פנים תקציביות,השתתפויות,0,0,,3,https://next.obudget.org/i/budget/0010/2026
sec-10,2026,קניות,קניות בארץ,19092000,19092000,,1,https://next.obudget.org/i/budget/0010/2026
sec-10,2026,קניות,רזרבה,733000,733000,,1,https://next.obudget.org/i/budget/0010/2026
sec-10,2026,שכר,רזרבה,1765000,1765000,,1,https://next.obudget.org/i/budget/0010/2026
sec-10,2026,שכר,שכר בארץ,42406000,42406000,,5,https://next.obudget.org/i/budget/0010/2026
sec-11,2023,חשבונות מעבר,חשבונות מעבר,0,0,0,1,https://next.obudget.org/i/budget/0011/2023
sec-11,2023,קניות,קניות בארץ,122900000,122900000,121160409,6,https://next.obudget.org/i/budget/0011/2023
sec-11,2023,קניות,רזרבה,2750000,2750000,0,1,https://next.obudget.org/i/budget/0011/2023
sec-11,2023,שכר,רזרבה,5250000,5250000,0,1,https://next.obudget.org/i/budget/0011/2023
sec-11,2023,שכר,שכר בארץ,278100000,278100000,276286047,10,https://next.obudget.org/i/budget/0011/2023
